"Shape","Assembly","Box","Chairs","Debug","Drill","Edgebander","Finished","Heian1","Heian2","Packline","Paint","Saw","Scrapped","SNX-Band","SNX-Trim","Start","Table-Pack","Table-Pack2","T-nut","Vector","Weeke1","Weeke2"
"MG2228","","","","","","","0.3","","","","","","","4.6 2.3 1.5 6.6 2.8 2.4 0.3 6.1","0.1 0.1 0.1 0.1 0.3 0.1 0.1","","","1029.1 1022.4 15.4 1018.4 998.7 17.3 75.9","","","","0"
"38-2266","","","","","","","","","2.9 0 0 8.1 0 3.2 3.6 1.3 8.1 2.9 0","","","","","","","","6","","","10.6 9.3 7 5.5 5.2 4.8 8.8 34.6","",""
"MG2266","","","","","","","","","5.3 0 6.8 5.1 0 3.2 3.7 3.5 5.1 0 0 0 0 3.2 2.8 2 3 3 0 0 5.9 0 0 0 0 0.1 2.3 2 1.9 2.7 8.7 8.8 4.2 2.4 2.2 3.8 0 2.8 0 3 0 0 0 0 0 6 0 3.3 4.4 2.5 5.8 2.6 2.5 2.8 6.4 2.2 0 0 0 0 2.7 2.2 0 0 4.7 0 0 0 8.2 0 3.6 3 3.5 0 0","","","","","","","","34.3 7.2 24.2 9.5 22.3 11.4 89.9 85 8.4 6.5 26 8.1 21.5 20.8 13.6 13.3 11.2 10.3 6.9 8.8 9.1 8 831 838.7","","","14.9 20.8 3.7 10.5 12.5 3.3 0 3.5 3.4 17.5 0 25.5 0 29.6 0 0.1 0.2 0.3 36.5 0 0.2 2.9 3.6 0 2.7 3.2 0 0 7.2 0 11.8 0 2.9 3.6 13.6 0 6.5 0 11.3 10.1 0 37.3 0 19.3 0 0.1 36.7 0 58.7 57.2 0 56.1 0 54.2 0 4.3 9.7 3.9 4.8 11.8 63.3 0.1 61.9 0 7.8 3.2 8.3 5.4 4.7 2.4 0","",""
"38-2310","","","","","","","","","","","","","","","","","","","","","",""
"MG2287","","","","","","","","","3.6 3 0 5.1 0 0.1 0 0 0 7.4 3.2 2.8 0","","","","","1.5 2.3 3.2 152.6","0.1 0.1 0.1","","25.9 19.6 15.8","","","13.4 0 4 0 0.1 5.4 0.1","",""
"MG2230","","","","","","","","","","","","","","","","","","","","","",""
"41-2422","","","","","","","","","0 0 0","","","","","3.9 2.9","0.1 0.1","","170.4","","","11.9 0.1","",""
"MG2250","","","","","","","","","","","","","","","","","","","","","",""
"38-2237","","","","","","","0.1","","3.4 0.1 0.2 0.5 0.5 6.4 6.4 6.5 7.2 7.4 7.6 7.9 8.3 1.1 0.3 5.5 7.2 5.9 5 5 2.7 7.5 0 2.8 6.8 2.8 6.1 3.2 3.2 2.8 2.8 3.5 3.2 3 3.1 3.4 3 2.9 3.1 2.8 2.9 4.4 8.8 2.7 6.3 1.1 3 3 3 4.3 6.7 3.4 0 2.1 0","","","","","1.3 1.3 3.1 1.3 1.8 1.4 1.7 3.6 3.8 1.3 3 1.7 1.3 1.3 1.5 1.3 3.3 1.3 5.9 1.5 4.7 3.9 1.4 1.4 1.3 4.4 1.6 1.4 2 1.9","3.3 4.4 15.9 21.9 5.5 3.5 0.2 2.3 131.9 100.4 3.3 2.5 2.5 3.4 5.3 2.9 53.8 6 2 2 0.6 7 59.4 4 5.8 3.7 8.6 0.4","","4.4 5.3 8 4.5 4.4 11.9 14.3 87.7","5.1 5.2 2.6 2.6 4.3 8.4 6.2 16.4 6.9 4.7 7 4.2 119.2 3.6 1.7 3.2 214 3.4 2.5 5.6 4.1 49 5.5 5.2 36.7","","13.1 7.1 4.6 21.9 5212.4 5193.5 21 0.1 2.7 0 2.1 0","",""
"38-2272","","","","","","","","","0 0","","","","","","","","31.7 30.6","","","0.1 4.2","",""
"MG2248","","","","","","","","","","","","","","","","","","","","","",""
"MG2245","","","","","","","","","","","","","","","","","","","","","",""
"MG2212","","","","","","","","","","","","","","","","","","","","","",""
"MG2246","","","","","","","","","","","","","","","","","","","","","",""
"MG2244","","","","","","","","","0 0 0 5.9 4.6 0 0","","","","","","","","23.3 1.4","","","4.6 7.6 26.3 0.1","",""
"MG2208","","","","","","","","","0 0","","","","","","","","","","","7.4 0.1 0.1","",""
"MG2277","","","","","","","","","","","","","","","","","","","","","",""
"38-2223","","","","","","","","","","","","","","0.5 0.6 1.1 1.1 0.6 0.6 0.2 0 1.1 0.4 1.5 1 0.7 2.5 2.5 0 1.6 1.5 0.9 1.3 1.3 0.8 0.8 0.7 0.7 0.5 0.5 1.1 0 0.7 1.2 3 0.9 1.2 7 0.6 1.2 1 1 1 4.1 4.1 0.5 0.6 1 1 0.6","0.1 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.1 0.1 1.5 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 9.7 0.2 0.2 0.1 0.1 0.1 0.1 0.2 0.1 0.1 0 2.9 0.1","","","","","","","0"
"MG2238","","","","","","","","","0 0 0 3.1 0.1 0.1 0.3 0.5 0.7 0 0 0 0 0 8.4 0 6.8 5.7 6.6 5.7 0 6.2 4.8 2.8 1 5.6 1.2 5.8 5.4 7.6 3.9 3.8 4 3.6 2.7 6.1 6.4 5.4 6.8 0 6.2 6.8 0 0.1 4.7 9 3.7 3.2 3.6 1.8 3.7 5.6 6.6 5.9 0 8.1 1.2 5.3 1.9 0 5 5.9 3.2 6.2 3.1 7.6 6.8 8.7 0.1 5.2 5.3 6.6 1.3 2.8 1.1 0 7.2 9.1 0 3 9.1 4.5 5.4 0 5.4 2.8 3.1 4.1 4.4 6.2 2.9 3.8 2.3 1 2.2 2.9 3.4 3.2 2.3 1.1 1 3.1 2.6 2.8 3.7 6.6 2.7 4.9 3.5 3.8 2.8 3.7 6.2 4.4 4.6 3.4 0 3.1 4.8 0 3.3 4.3 0 3.4 3.4 0 3.9 3.8 0 4.8 4.2 3 2.8 0 2.5 3 3.8 2.3 4.2 3.4 2.6 3.5 4 6 0 2.7 3.4 0 4 3.7 3.2 2.8 0 3.6 6.6 2 3.2 2.9 0.4 3 5.9 4.9 3.2 6.9 3.7 0 0","","","","","","","","383.5 6.5 10.7 9.5 4.3 4.8 6.2 3.9 2.5 4.1 3.9 4.4 2.9 2.6 3.3 3.2 4.5 3.4 6 5.7 22.4 5.8 6.9 27 5 5.5 3.5 4.9 3.2 5.2 3.6 3.3 19.5 4.6 18.5 18.2 10.6 13.8 3.1 5.5 6.9 19.4 4.3 5.2 40.1 3.2 5.7 4.5 4.1 6 3.9 5.9 32.6 24 18.5 17.5 8.3 10.2 9.3 8 3.8 13.1 3.2 3.7 4 5.1 5.9 7 14.9 20.5 5.5 4.9 6 3.2 8.8 7 3.3 8.4 4.2 5.8 4.9 5 7.7 3.9 53.8 842.4 3.4 4.3 4.1 4.2 5.6 11.8 3.4 5.6 6.3 4 3.1 5.5 4.3 2.8 34 5 4.4 5 6.7 3.8 6.5 18.7 6.6 3.6 8.4 36 9.1 15 6 10.7 9.6 7.6 6 4.2","","","3.8 2.6 5 0 3.8 0 0 4.2 11.4 4.8 7.7 5.2 41.8 13.3 9.7 4.1 24.8 4.9 17.7 4 7.3 11.4 4.8 3.9 4.3 6.3 31.5 14.3 15 11.7 4.3 4.1 6.3 4.2 8.3 5.9 4.8 5 6.5 10.5 0.6 0 31.6 27.3 23.2 0 44.3 0 1.9 6.3 80.6 7.6 0 0 11.3 0 13.3 0 0 13.9 0.5 0.5 4.7 0 0 0 0 0 0 5.1 9.6 6.7 0 6.3 0 8.8 5.8 5.9 6.4 6.2 5.2 5.3 8 7.9 0.1 0 11.3 3.9 6.6 8.5 0 0.1 5.1 0 0 9.2 0 10.8 4.4 4.5 3.7 4.5 4.3 4.3 4.2 4.1 4.8 5.4 5.2 21.4 8 4.8 7.1 3.8 5.5 6.2 9.6 0 0 4.4 0.8 3.7 5.5 0 3.7 4.1 0 8 16.5 0 1.8 0 5 0 4 4.2 1.5 0 12.1 0 6.5 0 12.6 0 9.4 0 19.8 0 13.9 0 797.7 0 2 818.6 0 808.1 0 21.9 0 8.9 0 21.3 0 0 5.6 5 0 28.6 0 44.1 0.1 12.7 0 5.1 0.5 0 18.9 0.1 17.7 0 15.7 0 6.6 0 11.2 0 0 8.4 20.1 0 71.7","",""
"MG2276","","","","","","","","","","","","","","","","","","","","","",""
"MG2236","","","","","","","","","6.8 3.4 0 0 0 0","","","","","1.3 1.2","5.3 19","","4.6 4.6 4.2 4 5.4 6.9 7.3 6 9.4 8 6.3 8.4 14.5 38.3 11 7.6 4.7 15.3 3.8","","","5.7 4.1 3.9 4.4 2.5 28.5 7 12.8 6 3.3 1.1 0.5 0 31.9 0 27.2 0.1 11.4 0 7.4 0 1.4 0 21.5 4.3 0 0.9 0","","0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"38-2220","","","","","","","0.3","","6.2 2.6 0 0 0 0 0","","","","","1.4 1.1 0.4 1 1 1.6 4.1 0.1 1.3 1.4 0 1.6 1.4 0.9 8.2 1.1 1.4 2.4 0.9 2.1 0.9 1.7 1.3 1.2 1 1.6 1.1 0 1 1.2 1.5 1.5 1.4 2.4 20.2 1.7 5.3 1 7.7 7.7","0.1 0.2 3.7 0.3 0 1.6 2.8 0 3.5 1.1 0.2 3.4 1.4 1.1 5.2 2.6 2.5 1.5 0.1 1.2 4.6 1.8 1.4 3.5 1.4 3.2 2.2 0.1 0.1 0.1 0.1 0.1 0.1 0 0.1 0.1 0.1","","7.6 15.4 21.7 13.6 12.7 13.4","555.7 540.7 396 15.8 4.3 513.5 466.7 544.1 491.6 426.3 544.1 477.4 402.6 509 518.3 489.9 459.5 392.7 438.5 426.7 3.8 412 406.8 484.1 480.6 459.4 505 120.7 90.4 83.5 80.3 72.8 66.9 63.2 55.1 75.6 59.1","","8.5 0 0 13.3 12.5 0 0 27.7 10 0 0 5.1 0","","1.3 0.9 0 0.6 1.4 0.2 1.3 0.8 0.7 0.9 1.3 0.9 2.4 1.2 0.5 0.9 1.1 0.4 0.8 0.8 0.4 0 1 0.8 8.2 0.9 0 0.9 1.6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0"
"MG2247","","","","","","","","","0 0 0 0 0 0 0 0 0","","","","","","","","5.1 5.6 16.2 17.5","","","6.6 5.1 11 0 6.1 0 0","",""
"MG2268","","","","","","","","","0 0 0 2.7 7.2 3.2 2.5 1.6 2.8 3.4 3 2.5 7.6 3.5 3.4 4.7 2.6 3.3 3.5 3 3.2 3.4 3.4 2.7 3.1 3.5 3.4 6.7 2.3 2.8 0 2.4 4 2.3 1.4 2.8 3.3 4.7 4.2 3.4 2.5 4.2 7.8 3.6 3.6 0 3.5 3.6 3.6 5.7 5.1 2.7 0 3.2 3 2.9 1.8 2.7 0","","","","","0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.2 0.1 22.7 3.5 2.3 6.9 2.6 3.4 4.2 4.1 4.3 4.7 7.4 0.1 0.2","9.6 4.3 4.9 0.2 32 0.1 2.5 3.7 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1","","13.8 6 5 6 4.5 6.6 5.3 6.7 8.8 5.5 38.9 8","6.7 4.9 4.7 21.1 5.5 14.7 20.2 12.9 4.4","","0.1 14.9 0 7 5.6 5.6 4.6 10 6 7.8 0","",""
"38-2291","","","","","","","","","4.8 3.8 2.2 2.3 2.1 2.3 2.2 2.3 0 0 0 0","","","","","1.6 5.9 1.5 4 3.5 1.8 1.7 3.5 1.3 1.3 1.2 1.6 1.7 1.2","0.1 0.1 0.7 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1 0.1","","67.7 59.9 70.2","0.4 9.1 2.4 52.7 3.4 7.3 2.1 2.6 2.5 19.4 0.3 1.1 3.2 6.1","","0.1 0.1 0.1","",""
"38-2236","","","","","","","","","7.4 6.2 6.6 4.6 0 0","","","","5.8 1.2 3.7 1.4 1 1.1 1.6 2.2 1.2 1.8 7.6 1.1 1.3 1.2 1.1 6.5 1.2 1.2 1.9 1.9 3.2 2.7 1.5 1.5 1.8 1.1 4.9 1.1 1.1","48.1 1.1 0.1 1.1 1.8 1.2 2.4 2.2 1.2 1.1 2.9 1.1","8.5 7.5 0.5 0.1 8.7 3.4 3.2 12.1 0.1 0.4 6 0.4 3.7 3 0.3 0.3 0.3 2.7 0.6 0.6 16.4 11.5 9.2 3.5 3.1 3.1 0.4 1.6 0.3 2.6 3.6 3.6 54.5 2.5 3.5 0.1 3.9 68.4","","3.3 3.9 1.5 1.6","216.9 194.8 2.4 207 176.1 23.5 180.7 28.4 1.6 2.7 2.7 159.8 2.4 6.9 2.7 165.3 1.7 36.4 127.8 154.6 2.4 147.1 2.4 142.2 3.1 1.9 135.4 136.9 9.9 1.8 100 99.3 7.7 91 93.7 44.5 76.9 85.7 4.6 81.7 12.1 57.5 51.5 5.6 28.9 44.6 12.8","","0.1 9.1 0.8 1.1 0 0.1","","0 0 0 0 0 0 0"
"MG2237","","","","","","","","","6.3 3.1 3.8 0 6.5 2.7 2.8 0 0 0 3.6 2.5 3.3 2.8 3.1 3.1 2.7 2.6 2.6 2.9 3.6 3.3 3 2.2 2.8 4.4 1.1 2.7 4.3 3.5 6.2 3.9 2.9 0 3.2 2.9 4.1 3.2 2.8 2.2 2.8 3.5 2.8 4.2 0 0","","","","","3.1 3 3 2.2","0.1 0.1 0.7 0.1 0.1","","11.3 10.7 11.1 11.2 8.3 10.2 10.3 9.7 11.8 12.5 9.4 11.3 9.5 15.3 16.5 16.6 27.6 15 20.3 36.4 22.3 17.1 22.3 28.3 25.9 24.2 6.4 19.5 16.6 16.7 31 1.2 8 3.9 14.1 12.9 12.8 14 13.5 14.2 15.4 14.8","5.7","","5 0.1 16.1 0 11.6 0 6.4 0 40.6 15.6 29.4 7 5.2 69 0 10.9 0 5.1 0 13.9 0 11.3 0 20.1 0 16.1 0 22.3 20.7 0 32.2 0 30.2 4 2.6 8.9 8.3 15.1 10.3 26.3 23.3 14.3 0 9.4 17 0 25.1 0 19.6 0 32.9 0 26.4 36.5 0 35.8 0 44.3 0 41.3 0","",""
"41-2428","","","","","","","","","","","","","","1.2 3.9 1.8 11.2 10.8 1.9 7.9 0.1","0.1 0.1 0.1 0.4","","","2.9 4.6 29.4 27.2 4.7 75.3 42.5","","","",""
"38-2228","","","","","","","3.2 0","","1.6","","","","","37.4 5.4 7.3 1.8 2 2.2 41.6","7.1 0.1","","69.3","58.5 8.3 14.4 2.7 5.9 73.3 47.2","","8.3 0 0.1","",""
"38-2216","","","","","","","","","","","","","","","","","6.2 3.7","","","9.7 0 10.1 0 0","","6.3 3.3 2.1 4.6 2.4 3.3 2.4 3.1 0 0 0 6.4 2.3 2.3 2.7 3.9 3.2"
"MG2216","","","","","","","","","","","","","","2.4 0 2.8 2.8 2.8 2.9 0.1 6.9","0.1 0.1 0.1 2.3 0.1","","","","","","","0 0"
"38-2224","","","","","","","","","","","","","","0.1 0.1 0.1","4.8 2.4 2.9","","","","","","","2.9 2.6 0 2.6 2.2"
"MG2224","","","","","","","","","","","","","","","0.1 1.9","","","957.7 958.2","","","",""
"41-2424","","","","","","","","","","","","","","4.2 1.3 1.4 1.5 0.9 3.2 3.6 0.9 3.6","0.1 0.1 0.1 0.1 6.8 8.3 12.2 16.6 0 2.5","","","25.4 18.2 36.7 42.8 33","","","","0 0 0 0 0"
"41-2429","","","","","","","","","","","","","","1.4","0.9","","","1.9","","","",""
"MG2226","","","","","","","","","3.7 2.6 2.8 6.7 2.8 2.2 2.6 2.7 4.6 2.2 3.5 2.5 2.8 3.4 2.7 2.9 2.9 2.8 3.2 2.6 3 2.7 3.3 4.1 4.3 2.8 2.1 3.1 7.9 2.7 2.7 3 0 0 0 0 0 0 0","","","","","1 1.2 1.1 1.1 1 1 1 1 0.9 0.9 1 1 1.1 1 1 0.9 2.4 2.1 3 3 4.7 1.6 1.6 1.5 1.5 4.1 4.1 3.2 0.3 1.5 2.2 1.8 2.5 2.5 2.1 2.2 1.8 0.1 1.4 11.2 1.4 1.1 1.1 18.7","1 25 0.1 17.2 32.7 31.3 29.7 28.3 42.1 39.1 40.6 34.2 7.6 13.3 1.3 43.5 0.5 5 3.2 52 0.1 0.1 0 0.6 0.1 0.1 2 0.1 0 8.3 0.1 10.5 0.1 0.1 0.1 0.1 5.6 6.5 0","","","","","","",""
"38-2226","","","","","","","","","0 0 0 0","","","","","0.2 1.3 1.4 0.9","0.1 0.1 0.1 0","","","","","","",""
"38-2247","","","","","","","","","2.7 3.5 2.7 0","","","","","","","","","","","","",""
"38-2268","","","","","","","","","","","","","","","","","","","","","",""
"MG2227","","","","","","","","","","","","","","","","","","","","","",""
"38-2227","","","","","","","","","","","","","","","","","","","","","",""
"MG2270","","","","","","","","","","","","","","","","","","","","","",""
"38-2270","","","","","","","","","","","","","","","","","","","","","",""
"MG2265","","","","","","","","","","","","","","","","","","","","","",""
"38-2284","","","","","","","","","","","","","","","","","","","","","",""
"38-2252","","","","","","","","","","","","","","","","","","","","","",""
"38-2222","","","","","","","","","","","","","","","","","","","","","",""
"38-2238","","","","","","","","","","","","","","","","","","","","","",""
